state,num_parks
Alaska,2
Arizona,26
California,115
Colorado,29
DC,18
Florida,61
Georgia,17
Hawaii,5
Idaho,5
Illinois,18
Indiana,23
Kansas,4
Kentucky,17
Louisiana,14
Maryland,11
Massachusetts,11
Michigan,17
Minnesota,20
Missouri,37
Nebraska,9
Nevada,24
New Jersey,19
New Mexico,2
New York,19
North Carolina,35
Ohio,47
Oklahoma,13
Oregon,10
Pennsylvania,34
Tennessee,21
Texas,93
Virginia,17
Washington,9
Wisconsin,17
